85
1JX4|T16975395  1JX4|P16975394
1JX4|T16975395  1JX4|P16975394
NA13  1N48|C46014923
NA13  1N56|D46014927
NA13  1N56|E46014928
NA67191  NP_34402815899423
NA67191  NP_34402815899423
NA16714  P39462728808
NA16714  P39462728808
NP_34186215897257  NP_34186215897257
NP_34186215897257  NP_34186215897257
NA166  Q97W0222095580
NA166  NP_34379815899193
NA166  Q97W0222095580
NA2072  NP_34417015899565
NA16934  P2249814424437
NP_34245515897850  NP_34245515897850
NA16456  NP_34379815899193
P39462728808  P39462728808
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
NP_34387515899270  NP_34387515899270
1JX4|P16975394  NP_34379815899193
1JX4|P16975394  NP_34379815899193
1JX4|T16975395  NP_34379815899193
1JX4|T16975395  NP_34379815899193
1BBX|C3891959  1BBX|A3891957
1BBX|C3891959  1BBX|A3891957
1BBX|C3891959  1BBX|B3891958
1BBX|C3891959  1BBX|B3891958
1JXL|P16975397  NP_34379815899193
1JXL|P16975397  NP_34379815899193
1QZW|B39654778  NP_34245515897850
1JXL|T16975398  NP_34379815899193
1JXL|T16975398  NP_34379815899193
NA18542  AAB032781256448
NA18542  AAB032781256448
NA1  NA13
NA13  Q97W0222095580
NA13  Q97W0222095580
NA13  Q97W0222095580
NA166  NP_34417015899565
NA554  Q97W0222095580
NA172  NP_34244815897843
NA194  P39462728808
1S97|K48425659  Q97W0222095580
NP_34402815899423  NP_34402815899423
NP_34402815899423  NP_34402815899423
NP_34402815899423  NP_34402815899423
NP_34402815899423  NP_34402815899423
NP_34402815899423  NP_34402815899423
NP_34402815899423  NP_34402815899423
NA17173  P2249814424437
NA16952  P2249814424437
NA37927507  NA37927505
NA37927507  NA37927505
NA15535  NP_34379815899193
NP_34392315899318  NP_34392315899318
NP_34392315899318  NP_34392315899318
NA15535  1JX4|P16975394
NA15535  1JX4|T16975395
P2249814424437  P2249814424437
NA37927513  NA37927509
NA37927513  NA37927509
1S0M|C47168942  Q97W0222095580
1S0M|D47168943  Q97W0222095580
Q97W0222095580  Q97W0222095580
1S0N|P47168947  Q97W0222095580
NA37927511  NA37927509
NA37927511  NA37927509
1S0N|T47168948  Q97W0222095580
NA14  NP_34417015899565
1JXL|T16975398  1JXL|P16975397
1JXL|T16975398  1JXL|P16975397
NP_34238315897778  NP_34238315897778
NP_34238315897778  NP_34238315897778
NA172  1JVB|A23200211
NA172  1JVB|A23200211
1C8C|C14278001  1C8C|A14277999
1C8C|C14278001  1C8C|A14277999
NA117  Q97W0222095580
NA117  Q97W0222095580
1S0O|C47168951  Q97W0222095580
NA17127  NP_34402815899423
NA17127  NP_34402815899423
1S0O|F47168954  Q97W0222095580
NP_34244815897843  NP_34244815897843
NP_34244815897843  NP_34244815897843
NA1107  Q97W0222095580
1S10|B47168956  Q97W0222095580
1S10|C47168957  Q97W0222095580
1BBX|D3891960  1BBX|C3891959
1BBX|D3891960  1BBX|C3891959
NA16456  1JXL|P16975397
NA16456  1JXL|T16975398
1N48|C46014923  1N48|B46014922
AAB032781256448  AAB032781256448
AAB032781256448  AAB032781256448
NA67270  NP_34402815899423
NA67270  NP_34402815899423
1RYS|D46015592  Q97W0222095580
NA16417  Q97W0222095580
NA16809  NP_34402815899423
NA16809  NP_34402815899423
NA14063  AAB032781256448
NA15044  1LBF|A21730711
NP_34244615897841  NP_34244615897841
NP_34244615897841  NP_34244615897841
1N48|B46014922  Q97W0222095580
1N48|C46014923  Q97W0222095580
NA1035  NP_34176915897164
1TLJ|B51247683  1TLJ|A51247682
1N56|C46014926  Q97W0222095580
1N56|F46014929  Q97W0222095580
NA37927506  NA37927505
NA37927506  NA37927505
AAA73380152938  NP_34238515897780
AAA73380152938  NP_34238515897780
NA17136  P2249814424437
NA166  NP_34238315897778
NA17412  1A53| 4699701
NA17437  AAB032781256448
NP_34205815897453  NP_34205815897453
NP_34205815897453  NP_34205815897453
1C8C|B14278000  1C8C|A14277999
1C8C|B14278000  1C8C|A14277999
